"","ARCA","CAHI","EROD","GITE","GOBE","GOPU","HAOD","HYGL","HYPO","MEDI","PEAI","PEDU","PLDE","POCA","POLE","PTGA","STPA","TRCY","TROR","VECY","VERO","WAAC","ACUL","ANTO","ARCO","AVBA","BRIB","BRPE","BUSE","CAER","CHEI","CHPS","DAGL","ECPL","ELSC","GONO","GRHUGE","MOMO","NIRO","OMCO","others","POMU","PTERO","PTEX","SCER","SCHOENUS","SEGL","SINO","SOOL","STFI","UNSP1","VUBR"
"ARCA",NA,-0.248291492329149,-0.0788005578800558,-0.186244769874477,-0.322071129707113,-0.636680613668061,-0.125191771269177,-0.77623779637378,-0.164644351464435,-0.517991631799163,-5.90528242677824,-0.224023709902371,-1.57057182705718,-2.60805439330544,-0.764295676429568,-1.33955718270572,-0.441248256624826,-0.444787308228731,-0.318811018131102,-0.277423291492329,-9.39510111576011,-0.444490934449093,-0.052649930264993,-0.00988493723849372,-0.0233437935843794,-0.00554393305439331,-0.340690376569038,-0.0127963737796374,-0.0519874476987448,-0.737848675034868,-0.0838389121338912,-0.0110878661087866,-0.0452057182705718,-0.0282252440725244,-0.0346059972105997,-0.0101464435146444,-0.0051255230125523,-0.0229951185495119,-0.00767085076708508,-0.00468967921896792,-0.0249476987447699,-0.502928870292887,-0.00427126917712692,-0.0321478382147838,-0.06528940027894,-0.0162133891213389,-0.00554393305439331,-0.0383542538354254,-0.0147489539748954,-0.0184972105997211,-0.0102336122733612,-0.0486227336122734
"CAHI",-0.248291492329149,NA,-0.00332984658298466,-0.00665969316596932,-0.011942119944212,-0.0264644351464435,-0.00460251046025105,-0.0319037656903766,-0.00613668061366806,-0.0203451882845188,-0.244403765690377,-0.00948396094839609,-0.0654463040446304,-0.10573570432357,-0.0310495118549512,-0.0530334728033473,-0.0156555090655509,-0.0183403068340307,-0.0134065550906555,-0.0115411436541144,-0.393793584379358,-0.0180788005578801,-0.00198744769874477,-0.000435843793584379,-0.00104602510460251,-0.000226638772663877,-0.0137029288702929,-0.00054044630404463,-0.00191771269177127,-0.0289225941422594,-0.00284170153417015,-0.00047071129707113,-0.00205718270571827,-0.00120292887029289,-0.00132496513249651,-0.000104602510460251,-0.000209205020920502,-0.000348675034867503,-0.000331241283124128,-1.74337517433752e-05,-0.00113319386331939,-0.0211994421199442,-0.000174337517433752,-0.00137726638772664,-0.00214435146443515,-0.000679916317991632,-0.000226638772663877,-0.000261506276150628,-0.000627615062761506,-0.000801952580195258,-0.000435843793584379,-0.0020397489539749
"EROD",-0.0788005578800558,-0.00332984658298466,NA,-0.00254532775453278,-0.00134239888423989,-0.00845536959553696,-0.00132496513249651,-0.00929218967921897,-0.000645048814504881,-0.00603207810320781,-0.0751046025104602,-0.00299860529986053,-0.0195083682008368,-0.0312238493723849,-0.00913528591352859,-0.0157775453277545,-0.00458507670850767,-0.00542189679218968,-0.00423640167364017,-0.00334728033472803,-0.123587866108787,-0.00371338912133891,-0.000732217573221757,-0.000139470013947001,-0.000331241283124128,-6.97350069735007e-05,-0.00418410041841004,-0.000174337517433752,-0.000191771269177127,-0.0074442119944212,-0.000592747559274756,-0.000139470013947001,-0.00047071129707113,-0.000383542538354254,-0.000296373779637378,3.48675034867503e-05,-6.97350069735007e-05,-0.000331241283124128,-0.000104602510460251,0.000627615062761506,-0.000348675034867503,-0.00657252440725244,0.000122036262203626,-0.000435843793584379,-0.000714783821478382,-0.000209205020920502,-6.97350069735007e-05,-0.000174337517433752,0.000156903765690377,-0.000261506276150628,3.48675034867503e-05,-0.000645048814504881
"GITE",-0.186244769874477,-0.00665969316596932,-0.00254532775453278,NA,-0.010407949790795,-0.020397489539749,-0.00404463040446304,-0.0233786610878661,-0.0053347280334728,-0.01668410041841,-0.1846059972106,-0.00721757322175732,-0.0485529986052999,-0.082897489539749,-0.0243898186889819,-0.0429741980474198,-0.0112970711297071,-0.0117329149232915,-0.0102161785216179,-0.00890864714086471,-0.300366108786611,-0.01389470013947,0.000313807531380753,-0.000331241283124128,-0.000784518828451883,-0.000174337517433752,-0.010965829846583,-0.000226638772663877,-0.00172594142259414,-0.0214260808926081,-0.00268479776847978,-0.000348675034867503,-0.00156903765690377,-0.000906555090655509,-0.00115062761506276,-0.000174337517433752,-0.000156903765690377,-0.000784518828451883,-0.000244072524407252,-0.000156903765690377,-0.000679916317991632,-0.016265690376569,-0.000139470013947001,-0.00104602510460251,-0.00216178521617852,-0.000523012552301255,-0.000174337517433752,-0.00125523012552301,-0.00047071129707113,-0.000610181311018131,-0.000331241283124128,-0.00155160390516039
"GOBE",-0.322071129707113,-0.011942119944212,-0.00134239888423989,-0.010407949790795,NA,-0.0297942817294282,-0.00407949790794979,-0.0397838214783821,-0.00627615062761506,-0.0265864714086471,-0.317329149232915,-0.0119246861924686,-0.0843619246861925,-0.133995815899582,-0.0405160390516039,-0.0639121338912134,-0.0206938633193863,-0.0195083682008368,-0.0173465829846583,-0.0148012552301255,-0.507112970711297,-0.0170153417015342,-0.00301603905160391,-0.000209205020920502,-0.00116806136680614,-0.000296373779637378,-0.0172245467224547,-0.000697350069735007,-0.00170850767085077,-0.039173640167364,-0.00404463040446304,-0.000610181311018131,-0.00197001394700139,-0.00155160390516039,-0.00195258019525802,-0.000575313807531381,-0.000278940027894003,-0.000819386331938633,-0.000418410041841004,-8.71687587168759e-05,-0.00111576011157601,-0.0273012552301255,-0.000226638772663877,-0.00177824267782427,-0.00366108786610879,-0.000889121338912134,-0.000296373779637378,-0.00142956764295676,-0.000645048814504881,-0.000871687587168759,-0.000557880055788006,-0.00247559274755927
"GOPU",-0.636680613668061,-0.0264644351464435,-0.00845536959553696,-0.020397489539749,-0.0297942817294282,NA,-0.0134414225941423,-0.0830543933054393,-0.0175906555090656,-0.0527370990237099,-0.628922594142259,-0.0238668061366806,-0.16802649930265,-0.277196652719665,-0.0810843793584379,-0.138092747559275,-0.0477336122733612,-0.046234309623431,-0.0339958158995816,-0.0296722454672245,-1.00113319386332,-0.0471582984658298,-0.00591004184100418,-0.000575313807531381,-0.00263249651324965,-0.000592747559274756,-0.0364888423988842,-0.00135983263598326,-0.00536959553695955,-0.078765690376569,-0.00894351464435146,-0.00118549511854951,-0.00523012552301255,-0.00305090655509066,-0.00381799163179916,-0.00113319386331939,-0.00054044630404463,-0.0024581589958159,-0.000819386331938633,-0.00050557880055788,-0.00268479776847978,-0.0534693165969317,-0.000453277545327755,-0.00350418410041841,-0.00700836820083682,-0.00172594142259414,-0.000592747559274756,-0.00331241283124128,-0.00158647140864714,-0.0020397489539749,-0.00109832635983264,-0.00517782426778243
"HAOD",-0.125191771269177,-0.00460251046025105,-0.00132496513249651,-0.00404463040446304,-0.00407949790794979,-0.0134414225941423,NA,-0.0153940027894003,0.000488145048814505,-0.00838563458856346,-0.122175732217573,-0.00475941422594142,-0.0323919107391911,-0.05139470013947,-0.015149930264993,-0.026534170153417,-0.00725244072524407,-0.00876917712691771,-0.00672942817294282,-0.00587517433751743,-0.196617852161785,-0.00601464435146444,-0.00116806136680614,-0.000209205020920502,-0.000523012552301255,-0.000122036262203626,-0.0047768479776848,-0.000261506276150628,-0.000261506276150628,-0.0131276150627615,-0.00177824267782427,-0.000226638772663877,0.00176080892608089,-0.000610181311018131,-0.000400976290097629,-0.000226638772663877,-0.000104602510460251,-0.000174337517433752,1.74337517433752e-05,-0.000104602510460251,-5.23012552301255e-05,-0.00950139470013947,-8.71687587168759e-05,0.000697350069735007,0.000139470013947002,-0.000348675034867503,-0.000122036262203626,-0.000819386331938633,0.000209205020920502,0.000296373779637378,0.000139470013947001,-0.00102859135285914
"HYGL",-0.77623779637378,-0.0319037656903766,-0.00929218967921897,-0.0233786610878661,-0.0397838214783821,-0.0830543933054393,-0.0153940027894003,NA,-0.0210251046025105,-0.0670153417015342,-0.762534867503487,-0.0273012552301255,-0.203539051603905,-0.335146443514644,-0.0961645746164575,-0.169055090655509,-0.0528591352859135,-0.0563633193863319,-0.0408647140864714,-0.0362796373779637,-1.22027545327755,-0.0559449093444909,-0.00652022315202232,-0.00132496513249651,-0.00322524407252441,-0.000714783821478382,-0.0432182705718271,-0.00167364016736402,-0.00683403068340307,-0.0954323570432357,-0.0100767085076708,-0.00144700139470014,-0.00638075313807531,-0.00338214783821478,-0.00467224546722455,-0.00139470013947001,-0.000662482566248257,-0.00270223152022315,0.000226638772663877,-0.000261506276150628,-0.00332984658298466,-0.064313110181311,-0.000557880055788006,-0.00427126917712692,-0.00878661087866109,-0.0021094839609484,-0.000714783821478382,-0.00493375174337517,-0.00108089260808926,-0.00214435146443515,-0.00132496513249651,-0.00632845188284519
"HYPO",-0.164644351464435,-0.00613668061366806,-0.000645048814504881,-0.0053347280334728,-0.00627615062761506,-0.0175906555090656,0.000488145048814505,-0.0210251046025105,NA,-0.0124302649930265,-0.160146443514644,-0.00629358437935844,-0.042381450488145,-0.0682531380753138,-0.0191248256624826,-0.0339086471408647,-0.0116980474198047,-0.0109309623430962,-0.00871687587168759,-0.00775801952580195,-0.260617154811715,-0.00855997210599721,-0.00155160390516039,-0.000278940027894003,-0.000697350069735007,-0.000156903765690377,-0.00814156206415621,-0.000348675034867503,-0.000627615062761506,-0.0185146443514644,-0.00146443514644351,-0.000313807531380753,-0.000313807531380753,-0.000801952580195258,-0.000122036262203626,5.23012552301255e-05,-0.000139470013947001,-0.000523012552301255,-0.000209205020920502,-0.000122036262203626,-0.000749651324965132,-0.0138249651324965,-0.000122036262203626,-0.000906555090655509,-0.00188284518828452,-0.000453277545327755,-0.000156903765690377,-0.000226638772663877,-6.97350069735007e-05,-0.00054044630404463,6.97350069735007e-05,-0.00135983263598326
"MEDI",-0.517991631799163,-0.0203451882845188,-0.00603207810320781,-0.01668410041841,-0.0265864714086471,-0.0527370990237099,-0.00838563458856346,-0.0670153417015342,-0.0124302649930265,NA,-0.509466527196653,-0.0189504881450488,-0.136122733612273,-0.224529288702929,-0.065986750348675,-0.111680613668061,-0.0361576011157601,-0.0383716875871688,-0.02778940027894,-0.0242503486750349,-0.818357740585774,-0.0373430962343096,-0.00482914923291492,-0.000191771269177127,-0.00216178521617852,-0.000313807531380753,-0.0296548117154812,-0.00111576011157601,-0.0044979079497908,-0.0614714086471409,-0.00679916317991632,-0.000958856345885635,-0.00392259414225941,-0.00179567642956764,-0.00312064156206416,-0.000923988842398884,-0.000278940027894003,-0.00129009762900976,-0.000488145048814505,-0.000400976290097629,-0.00163877266387727,-0.0439156206415621,-0.000366108786610879,-0.00198744769874477,-0.00500348675034868,-0.00141213389121339,-0.000488145048814505,-0.00167364016736402,-0.00113319386331939,-0.00149930264993026,-0.000889121338912134,-0.00406206415620642
