"focal","neighbour","total_obs","total_density","neighb_is_focal","cooc_code"
"ARCA","ARCA",1063,9874,TRUE,"CO"
"ARCA","CAHI",23,62,TRUE,"CO"
"ARCA","EROD",22,25,TRUE,"CO"
"ARCA","GITE",28,51,TRUE,"CO"
"ARCA","GOBE",97,147,TRUE,"CO"
"ARCA","GOPU",29,78,TRUE,"CO"
"ARCA","HAOD",27,29,TRUE,"CO"
"ARCA","HYGL",41,53,TRUE,"CO"
"ARCA","HYPO",32,42,TRUE,"CO"
"ARCA","MEDI",120,261,TRUE,"CO"
"ARCA","PEAI",274,674,TRUE,"CO"
"ARCA","PEDU",80,147,TRUE,"CO"
"ARCA","PLDE",83,224,TRUE,"CO"
"ARCA","POCA",308,665,TRUE,"CO"
"ARCA","POLE",4,4,TRUE,"CO"
"ARCA","PTGA",188,430,TRUE,"CO"
"ARCA","STPA",100,114,TRUE,"CO"
"ARCA","TRCY",41,53,TRUE,"CO"
"ARCA","TROR",4,20,TRUE,"CO"
"ARCA","VECY",11,25,TRUE,"CO"
"ARCA","VERO",302,1914,TRUE,"CO"
"ARCA","WAAC",70,82,TRUE,"CO"
"CAHI","ARCA",29,101,TRUE,"CO"
"CAHI","CAHI",64,198,TRUE,"CO"
"CAHI","EROD",3,3,TRUE,"CO"
"CAHI","GITE",1,1,TRUE,"CO"
"CAHI","GOBE",3,5,TRUE,"CO"
"CAHI","GOPU",3,5,TRUE,"CO"
"CAHI","HAOD",3,5,TRUE,"CO"
"CAHI","HYGL",6,26,TRUE,"CO"
"CAHI","HYPO",8,11,TRUE,"CO"
"CAHI","MEDI",15,30,TRUE,"CO"
"CAHI","PEAI",42,79,TRUE,"CO"
"CAHI","PEDU",11,25,TRUE,"CO"
"CAHI","PLDE",11,56,TRUE,"CO"
"CAHI","POCA",31,130,TRUE,"CO"
"CAHI","POLE",4,4,TRUE,"CO"
"CAHI","PTGA",15,30,TRUE,"CO"
"CAHI","STPA",6,7,TRUE,"CO"
"CAHI","TRCY",6,13,TRUE,"CO"
"CAHI","TROR",0,0,TRUE,"NCO"
"CAHI","VECY",0,0,TRUE,"SIM"
"CAHI","VERO",16,34,TRUE,"CO"
"CAHI","WAAC",8,9,TRUE,"CO"
"EROD","ARCA",5,21,TRUE,"CO"
"EROD","CAHI",2,3,TRUE,"CO"
"EROD","EROD",29,33,TRUE,"CO"
"EROD","GITE",0,0,TRUE,"NCO"
"EROD","GOBE",4,8,TRUE,"CO"
"EROD","GOPU",0,0,TRUE,"NCO"
"EROD","HAOD",1,1,TRUE,"CO"
"EROD","HYGL",7,21,TRUE,"CO"
"EROD","HYPO",2,2,TRUE,"CO"
"EROD","MEDI",1,1,TRUE,"CO"
"EROD","PEAI",16,39,TRUE,"CO"
"EROD","PEDU",0,0,TRUE,"NCO"
"EROD","PLDE",3,10,TRUE,"CO"
"EROD","POCA",14,32,TRUE,"CO"
"EROD","POLE",5,13,TRUE,"CO"
"EROD","PTGA",3,4,TRUE,"CO"
"EROD","STPA",2,2,TRUE,"CO"
"EROD","TRCY",1,1,TRUE,"SIM"
"EROD","TROR",0,0,TRUE,"NCO"
