"Plot","Density","Block","Per.Litt","Per.Bare","Per.Woody","Soil.P","Soil.Water","Canopy.Cover","Class.Canopy","evenness","diversity","total.density"
1,100,1,23,40.5,10.5,11.6,22.539444027,13.1,2,0.629870696644749,6,119
2,100,1,0.5,3.1,3.1,5.4,18.4907151324,13.1,2,0.0775514002528181,5,476
3,100,1,40.5,3.1,23,12.5,17.731629393,3.7,1,0.380286359684204,16,410
4,100,1,0.5,3.1,3.1,14.9,18.1782178218,5.2,1,0.325459878042348,11,418
5,100,1,3.1,0.5,3.1,10,19.9608610568,11.1,2,0.594290396762469,11,608
6,100,1,10.5,3.1,23,21.9,25.9964093357,17.9,2,0.550127729382642,16,387
7,100,1,10.5,40.5,10.5,10.7,19.0927021696,14.5,2,0.814386222511848,17,170
8,100,1,0.5,23,3.1,10.4,19.0027483314,0.2,1,0.0976435632280733,5,840
9,100,1,10.5,10.5,40.5,14.7,27.0862800566,35.4,3,0.652420903012203,18,471
10,100,1,10.5,23,23,19.7,27.5668073136,25.4,3,0.401276862787462,13,268
11,100,1,23,10.5,23,19.2,22.7511244378,38.8,3,0.78578020034142,16,364
12,100,1,10.5,0.5,3.1,14.6,22.4466891134,8.9,2,0.612475411951369,9,419
13,100,1,23,0.5,0.5,13.2,13.7494727963,3,1,0.479644631903862,8,399
14,100,1,10.5,3.1,3.1,9.2,14.4945697577,7.2,1,0.804179310060166,17,267
15,30,1,0.5,0.5,10.5,6.7,15.2309612984,11.4,2,0.0964712749551344,7,901
16,60,1,0.5,3.1,3.1,9.4,14.1604010025,6,1,0.130844957806444,6,406
17,30,1,10.5,23,10.5,8.8,22.1120853984,12.2,2,0.502013516295208,10,107
18,60,1,3.1,10.5,10.5,11.3,17.3877881116,4.9,1,0.68006979011353,15,171
19,30,1,10.5,40.5,0.5,18.1,19.3941778127,15.6,2,0.628748449955627,11,111
20,60,1,3.1,23,3.1,12.1,19.6791862285,13.9,2,0.829608609164002,13,167
21,100,2,3.1,10.5,3.1,13.9,18.6522262335,1.8,1,0.235763264463635,14,960
22,100,2,0.5,3.1,10.5,13.4,15.8921161826,2.2,1,0.225993920305762,10,941
23,100,2,0.5,0.5,10.5,19.2,18.6083499006,10.5,2,0.732567992763075,12,285
24,100,2,3.1,0.5,10.5,11.8,18.5051958433,15,2,0.406208984441406,18,919
25,100,2,40.5,3.1,3.1,12.4,21.5041128085,24.2,3,0.681078715020098,17,367
26,100,2,10.5,0.5,23,4.8,21.4397496088,19.3,3,0.705167288867277,19,251
27,60,2,10.5,10.5,10.5,14.7,24.104111656,20.7,3,0.778103340538398,17,208
28,100,2,3.1,3.1,3.1,9.6,21.875,22.9,3,0.64501975517565,13,400
29,100,2,0.5,3.1,3.1,7.8,21.8737594283,1.4,1,0.379568419222726,8,806
30,100,2,3.1,10.5,0.5,6.8,22.433460076,3.6,1,0.729648392788511,13,407
31,60,2,3.1,0.5,3.1,8.3,15.0743099788,3.5,1,0.736976577212016,13,248
32,30,2,0.5,3.1,0.5,10.8,19.8632891033,5.3,1,0.594410485875388,11,172
33,100,2,3.1,3.1,10.5,10.2,16.7218543046,33.2,3,0.604852148907559,12,369
34,60,2,40.5,0.5,3.1,13.8,24.8685199098,11.2,2,0.659899108128833,19,200
35,60,2,0.5,0.5,0.5,9.6,18.7271990272,1.9,1,0.726450428874098,15,306
36,30,2,10.5,0.5,10.5,17.1,20.862745098,13.7,2,0.726670531184998,13,229
37,60,2,40.5,3.1,10.5,10.4,23.4526472782,27.5,3,0.775069490862579,13,175
38,30,2,0.5,10.5,23,16.7,17.4667204518,11,2,0.733966345435554,12,180
39,30,2,85.5,3.1,3.1,19.3,14.7022074136,29.2,3,0.480498496727049,10,200
40,60,2,23,23,10.5,19.8,17.8282009724,30.3,3,0.763487144423768,14,153
41,100,3,0.5,85.5,40.5,6.5,17.3594132029,14.6,2,0.534571689624759,9,149
42,100,3,0.5,10.5,0.5,13.8,13.080528334,22.3,3,0.800634438747837,13,147
43,30,3,0.5,40.5,3.1,13.7,15.0887573964,19.6,3,0.480622344180839,12,121
44,60,3,0.5,3.1,3.1,7.9,14.8473442074,12.2,2,0.0864467497853097,5,263
45,30,3,0.5,0.5,10.5,9.1,16.5500205846,6,1,0.207834014518656,13,557
46,30,3,0.5,0.5,3.1,14.8,15.8651870119,28.7,3,0.289183429210108,15,513
47,30,3,3.1,23,3.1,24.1,17.3720274083,31.7,3,0.407414284009842,12,161
48,60,3,3.1,3.1,10.5,8.5,16.3457599345,10.8,2,0.643727965216944,11,140
