"plot","species","Num_indivs","Num_indiv_seed","Class.Canopy"
1,"CHEI",71,0,2
1,"EROD",1,1,2
1,"GOBE",4,3,2
1,"POLE",2,2,2
1,"VERO",25,23,2
1,"WAAC",16,16,2
2,"MOMO",1,0,2
2,"STPA",2,2,2
2,"TROR",1,0,2
2,"VERO",466,62,2
2,"WAAC",6,4,2
3,"ARCA",1,1,1
3,"CAER",1,0,1
3,"CAHI",28,17,1
3,"ELSC",20,3,1
3,"GITE",1,0,1
3,"GOBE",1,0,1
3,"HYGL",11,0,1
3,"HYPO",1,0,1
3,"MEDI",2,2,1
3,"MOMO",1,0,1
3,"PLDE",2,2,1
3,"POCA",2,0,1
3,"STPA",4,0,1
3,"TRCY",19,18,1
3,"UNFB.1",6,0,1
3,"VERO",310,168,1
4,"ARCA",332,165,1
4,"CAER",4,0,1
4,"EROD",2,1,1
4,"HYGL",1,0,1
4,"MOMO",1,1,1
4,"PEAI",1,1,1
4,"PLDE",53,37,1
4,"POCA",14,10,1
4,"STPA",7,1,1
4,"VERO",2,0,1
4,"WAAC",1,1,1
5,"ARCA",43,7,2
5,"EROD",1,0,2
5,"GITE",5,1,2
5,"HYGL",41,6,2
5,"PEAI",73,6,2
5,"PEDU",3,0,2
5,"PLDE",336,14,2
5,"POCA",1,0,2
5,"STPA",6,0,2
5,"TRCY",8,1,2
5,"VERO",91,0,2
6,"ARCA",217,57,2
6,"CAER",73,0,2
6,"GOBE",4,0,2
6,"GRHUGE",2,0,2
6,"HAOD",4,0,2
6,"HYPO",1,0,2
6,"MECR",1,0,2
6,"MEDI",22,1,2
6,"PEAI",25,4,2
6,"PEDU",9,2,2
6,"POCA",5,0,2
6,"PTGA",7,0,2
6,"SOOL",2,0,2
6,"SPAR",1,0,2
6,"STPA",12,0,2
6,"WAAC",2,1,2
7,"CAER",1,0,2
7,"CAHI",6,6,2
7,"CHEI",16,0,2
7,"EROD",15,12,2
7,"GOBE",5,5,2
7,"HYGL",43,29,2
7,"OMCO",6,6,2
