"","name","code","germ","surv"
"ARCA","Arctotheca calendula","ARCA","0.230595238095238","0.349186507936508"
"STPA","Austrostipa elegantissima","STPA","0.217200590247379","0.439194791067733"
"CAHI","Calotis hispidula","CAHI","0.228928571428571","0.601093073593074"
"GITE","Gilberta tenuifolia","GITE","0.373280423280423","0.439194791067733"
"GOBE","Goodenia berardiana","GOBE","0.228971781894576","0.515001803751804"
"GOPU","Goodenia pusilliflora","GOPU","0.217200590247379","0.536872721576669"
"HAOD","Haloragis odontocarpa","HAOD","0.293328583825875","0.364583743784595"
"HYGL","Hyalosperma glutinosum glutinosum","HYGL","0.252961667498008","0.425969633467422"
"HYPO","Hypochaeris glabra","HYPO","0.555589463855718","0.581157468835487"
"MEDI","Medicago sp.","MEDI","0.0768055555555556","0.867097246793454"
"PEAI","Pentameris airoides","PEAI","0.195542825317261","0.301786758563074"
"PEDU","Petrorhagia dubia","PEDU","0.217200590247379","0.439194791067733"
"PLDE","Plantago debilis","PLDE","0.353385467624051","0.337208585188461"
"POCA","Podolepis canescens","POCA","0.298666723999541","0.380160675381264"
"POLE","Podolepis lessonii","POLE","0.236650296083346","0.295571557570397"
"PTGA","Ptilotus eremita","PTGA","0.115595238095238","0.614485693400167"
"TRCY","Trachymene cyanopetala","TRCY","0.107019400352734","0.280248836376656"
"TROR","Trachymene ornata","TROR","0.137345679012346","0.25507215007215"
"VECY","Velleia cycnopotamica","VECY","0.0177631578947368","0.369796365914787"
"VERO","Velleia rosea","VERO","0.158789923526766","0.401434699385827"
"WAAC","Waitzia acuminata","WAAC","0.217200590247379","0.439194791067733"
